anatomy	paths	contribution
telencephalon	928	0.15336
forebrain	834	0.14736
hindbrain	386	0.13054
head	1210	0.12736
nervous system	1247	0.12175
ganglion	285	0.11912
central nervous system	1208	0.11191
brain	1263	0.097459
brainstem	435	0.08114
cerebellum	781	0.076608
spinal cord	589	0.070009
midbrain	562	0.067674
telencephalic ventricle	110	0.06702
medulla oblongata	502	0.064499
cerebellar cortex	41	0.060693
locus ceruleus	26	0.01834
ear	16	0.017795
autonomic nervous system	38	0.017647
spinal nerve	8	0.017385
vagus nerve	20	0.01601
phrenic nerve	9	0.009035
pons	16	0.004564
meninx	3	0.003528
tongue	5	0.001959
