source_edge	paths	contribution
Compound—includes—Decreased Central Nervous System Disorganized Electrical Activity	238	6.3412
Compound—includes—Benzodiazepines	52	3.8446
Compound—binds—GABRA1	12385	2.8192
Compound—resembles—Diazepam	402	2.7081
Compound—includes—General Anesthesia	6	2.456
Compound—binds—GABRG2	8522	2.4024
Compound—palliates—multiple sclerosis	84	2.156
Compound—resembles—Amobarbital	87	2.1309
Compound—resembles—Clobazam	227	2.1275
Compound—resembles—Phenobarbital	165	2.0366
Compound—resembles—Clonazepam	131	1.8277
Compound—binds—GABRB2	7554	1.819
Compound—resembles—Midazolam	228	1.6999
Compound—binds—GABRA5	7835	1.6446
Compound—binds—CYP2C19	4316	1.5572
Compound—resembles—Lacosamide	24	1.5527
Compound—resembles—Oxcarbazepine	51	1.3743
Compound—binds—GABRB3	7390	1.2506
Compound—treats—migraine	5	1.13
Compound—binds—GABRD	274	1.0898
Compound—binds—GRIA2	2951	1.0444
Compound—binds—CACNA1G	686	1.0115
Compound—resembles—Phenytoin	116	0.96921
Compound—binds—SCN9A	945	0.92676
Compound—resembles—Primidone	82	0.90927
Compound—binds—GRIK2	2216	0.89277
Compound—includes—Sulfonamides	4	0.8912
Compound—palliates—bipolar disorder	56	0.88307
Compound—binds—SCN1A	1135	0.87013
Compound—binds—CYP3A4	7173	0.83851
Compound—binds—GABRA3	8523	0.82121
Compound—palliates—panic disorder	14	0.8112
Compound—resembles—Carbamazepine	46	0.79607
Compound—binds—CA4	612	0.77912
Compound—binds—GABRA2	8556	0.75987
Compound—palliates—schizophrenia	32	0.75576
Compound—binds—CHRNA7	2349	0.72226
Compound—binds—CYP2E1	3051	0.70235
Compound—binds—CHRNA4	2573	0.68521
Compound—binds—SCN3A	899	0.58843
Compound—includes—Cytochrome P450 2D6 Inhibitors	2	0.575
Compound—binds—GABBR1	442	0.54185
Compound—resembles—Methylphenobarbital	106	0.52497
Compound—binds—SCN5A	1904	0.51947
Compound—binds—GRIN2A	715	0.5018
Compound—resembles—Trimethadione	3	0.49278
Compound—binds—SCN4A	744	0.47284
Compound—binds—GRIN2B	1163	0.46826
Compound—resembles—Felbamate	9	0.4602
Compound—binds—GABRA4	5849	0.45465
Compound—resembles—Acetazolamide	3	0.44996
Compound—binds—CYP2B6	2459	0.4486
Compound—binds—SCN8A	552	0.44858
Compound—binds—GABRA6	5667	0.44542
Compound—binds—ALB	3382	0.43155
Compound—resembles—Propofol	10	0.42596
Compound—binds—SLC6A1	383	0.40706
Compound—binds—CACNA2D2	390	0.40421
Compound—binds—CYP2C8	2635	0.39555
Compound—binds—CACNA1H	544	0.37472
Compound—binds—SCN2A	794	0.37176
Compound—binds—ABCB1	3272	0.36115
Compound—binds—ABAT	245	0.34756
Compound—resembles—Methsuximide	66	0.33829
Compound—binds—CYP2C9	3681	0.33818
Compound—binds—GRM5	593	0.32707
Compound—binds—CACNA1B	403	0.29308
Compound—resembles—Fosphenytoin	11	0.29228
Compound—palliates—Parkinson's disease	6	0.2811
Compound—binds—CYP2C18	905	0.2805
Compound—binds—CYP2D6	1431	0.27998
Compound—resembles—Heptabarbital	54	0.27798
Compound—binds—GABRG3	4918	0.27706
Compound—binds—CHRFAM7A	123	0.27195
Compound—binds—GABRB1	4828	0.26783
Compound—binds—KCNK9	348	0.26734
Compound—binds—GRIA1	1044	0.26722
Compound—resembles—Delorazepam	104	0.26433
Compound—resembles—Phenindione	65	0.26195
Compound—binds—KCNK3	332	0.26147
Compound—resembles—Butethal	78	0.24572
Compound—resembles—Pentobarbital	130	0.24542
Compound—resembles—Butabarbital	97	0.24517
Compound—resembles—Talbutal	130	0.24476
Compound—binds—CHRM1	3088	0.24448
Compound—resembles—Fludiazepam	256	0.24298
Compound—binds—TSPO	128	0.23451
Compound—binds—CA5B	540	0.23235
Compound—resembles—Secobarbital	98	0.22511
Compound—resembles—Aprobarbital	78	0.22333
Compound—palliates—restless legs syndrome	12	0.22328
Compound—binds—CHRM3	3164	0.21742
Compound—resembles—Alprazolam	194	0.21054
Compound—binds—GABRG1	297	0.21041
Compound—binds—CACNA1A	417	0.20998
Compound—binds—SV2A	42	0.20955
Compound—resembles—Prazepam	236	0.20613
Compound—binds—GABRR1	3054	0.206
Compound—resembles—Estazolam	216	0.20483
Compound—binds—GABRR2	3166	0.20418
Compound—resembles—Oxazepam	196	0.20205
Compound—resembles—Halazepam	216	0.20135
Compound—binds—CA9	756	0.20035
Compound—resembles—Lorazepam	129	0.19271
Compound—binds—CHRM2	3344	0.1875
Compound—resembles—Flunitrazepam	122	0.18557
Compound—binds—GABRQ	2896	0.18277
Compound—resembles—Glutethimide	53	0.1775
Compound—binds—CA2	620	0.17596
Compound—binds—CYP3A5	1591	0.17543
Compound—resembles—Phenacemide	10	0.1716
Compound—binds—AQP1	134	0.17141
Compound—binds—GABRE	130	0.17135
Compound—resembles—Clorazepate	158	0.17131
Compound—includes—Cytochrome P450 2B6 Inducers	4	0.1704
Compound—includes—Cytochrome P450 2C19 Inducers	4	0.1704
Compound—includes—Cytochrome P450 2C9 Inducers	4	0.1704
Compound—resembles—Triazolam	186	0.16666
Compound—resembles—Flurazepam	194	0.16214
Compound—binds—CA6	392	0.15997
Compound—resembles—Phensuximide	45	0.15906
Compound—binds—CA5A	438	0.15853
Compound—binds—HTR2A	3609	0.15739
Compound—resembles—Temazepam	227	0.15678
Compound—binds—SLC1A1	183	0.15606
Compound—binds—CA1	535	0.15552
Compound—resembles—Quinidine barbiturate	9	0.15498
Compound—binds—GABRP	61	0.15354
Compound—binds—CYP1A2	2788	0.15244
Compound—binds—GABRR3	62	0.14953
Compound—binds—ABCC2	350	0.14824
Compound—resembles—Chlordiazepoxide	159	0.1447
Compound—binds—KCND2	333	0.14409
Compound—binds—CA7	459	0.14328
Compound—binds—CACNA1I	474	0.14141
Compound—resembles—L-Phenylalanine	13	0.1406
Compound—resembles—Adinazolam	197	0.13987
Compound—resembles—Methocarbamol	1	0.138
Compound—resembles—Quazepam	141	0.13782
Compound—binds—SLC2A1	223	0.13688
Compound—binds—SLC6A4	696	0.13518
Compound—binds—CYP2A6	1152	0.13275
Compound—resembles—Ethyl loflazepate	48	0.13245
Compound—binds—CA14	342	0.1277
Compound—resembles—Camazepam	57	0.12736
Compound—binds—CA12	480	0.12726
Compound—includes—Cytochrome P450 2C8 Inducers	1	0.127
Compound—binds—CA3	207	0.12445
Compound—binds—SCN10A	552	0.11632
Compound—binds—HTR7	1840	0.11407
Compound—palliates—systemic lupus erythematosus	4	0.1117
Compound—resembles—Ethotoin	52	0.11147
Compound—binds—CACNA2D1	40	0.11127
Compound—resembles—Ketazolam	81	0.11105
Compound—includes—Cytochrome P450 3A4 Inducers	4	0.1108
Compound—resembles—Clotiazepam	107	0.11062
Compound—resembles—Thiopental	71	0.10978
Compound—binds—ADRA2A	2395	0.10908
Compound—binds—SCN11A	430	0.1089
Compound—binds—CYP3A7	1171	0.10868
Compound—includes—P-Glycoprotein Inhibitors	1	0.108
Compound—binds—GRIN3A	27	0.10465
Compound—binds—CYP3A7-CYP3A51P	65	0.1029
Compound—resembles—Thiamylal	63	0.10231
Compound—resembles—Epinastine	40	0.10109
Compound—resembles—Butalbital	71	0.10008
Compound—binds—UGT1A3	342	0.097904
Compound—resembles—Clozapine	153	0.094606
Compound—binds—UGT1A4	365	0.091997
Compound—binds—MAOA	713	0.091509
Compound—resembles—Mazindol	22	0.091337
Compound—resembles—Cloxazolam	18	0.09022
Compound—binds—MAOB	266	0.088285
Compound—palliates—endogenous depression	3	0.0881
Compound—includes—Cytochrome P450 1A2 Inducers	2	0.0859
Compound—binds—ABCG2	256	0.08515
Compound—binds—SLC36A1	80	0.082102
Compound—resembles—Chlorthalidone	5	0.081182
Compound—resembles—Nitrazepam	148	0.080447
Compound—resembles—Brotizolam	14	0.07929
Compound—resembles—Cinolazepam	126	0.072209
Compound—causes—Ataxia	1312	0.069241
Compound—binds—CACNB4	207	0.067044
Compound—binds—KCNQ3	372	0.066457
Compound—binds—KCNQ2	370	0.066196
Compound—binds—PTGS1	1178	0.064365
Compound—resembles—Nateglinide	11	0.06427
Compound—binds—SCN7A	308	0.063339
Compound—resembles—Bromazepam	61	0.062324
Compound—resembles—Aspartame	5	0.061476
Compound—binds—CA13	70	0.060122
Compound—binds—GABBR2	461	0.059892
Compound—binds—KCNC1	93	0.058933
Compound—resembles—Loxapine	88	0.058841
Compound—binds—OPRD1	792	0.058064
Compound—binds—KCNC4	90	0.058062
Compound—binds—GRIN1	1089	0.057984
Compound—binds—KCNB1	174	0.057568
Compound—resembles—Phenylbutazone	13	0.05296
Compound—resembles—Bethanidine	3	0.05296
Compound—binds—SLCO1A2	294	0.052076
Compound—binds—CYP11A1	112	0.051715
Compound—resembles—Indapamide	3	0.050523
Compound—binds—KCNJ11	320	0.049943
Compound—resembles—Trimipramine	54	0.049671
Compound—binds—KCNQ4	85	0.049418
Compound—binds—SCN1B	104	0.048555
Compound—causes—Nystagmus	611	0.0485
Compound—resembles—Chlorprothixene	89	0.046831
Compound—binds—OPRM1	838	0.045852
Compound—resembles—Modafinil	16	0.045299
Compound—causes—Diplopia	948	0.044986
Compound—binds—KCNV1	86	0.044824
Compound—resembles—Desipramine	58	0.044414
Compound—causes—Somnolence	1577	0.043543
Compound—binds—GRIK5	140	0.043373
Compound—causes—Vomiting	1777	0.042753
Compound—causes—Agitation	1382	0.042186
Compound—causes—Headache	1802	0.040683
Compound—resembles—Nepafenac	10	0.040399
Compound—causes—Nausea	1802	0.040122
Compound—resembles—Mianserin	35	0.038864
Compound—resembles—Clomipramine	70	0.038784
Compound—resembles—Dimetacrine	10	0.03859
Compound—binds—HRH3	365	0.03849
Compound—binds—KCNH1	86	0.03848
Compound—resembles—Benzyl Benzoate	12	0.03829
Compound—resembles—Protriptyline	15	0.03815
Compound—resembles—Imipramine	70	0.038111
Compound—resembles—Methdilazine	10	0.03806
Compound—binds—CYP4B1	210	0.037604
Compound—resembles—Methamphetamine	15	0.037441
Compound—binds—GRIA4	163	0.037188
Compound—causes—Rash	1610	0.035399
Compound—causes—Dermatitis	1610	0.034533
Compound—resembles—Promethazine	46	0.03453
Compound—binds—DRD2	4030	0.034155
Compound—causes—Drowsiness	676	0.033995
Compound—causes—Dizziness	1634	0.033918
Compound—resembles—Antipyrine	15	0.033869
Compound—resembles—Nortriptyline	53	0.033637
Compound—resembles—Alimemazine	10	0.03361
Compound—causes—Confusional state	1256	0.033554
Compound—binds—PTGS2	209	0.033513
Compound—binds—FAAH	14	0.032799
Compound—causes—Feeling abnormal	1405	0.032485
Compound—resembles—Phenformin	5	0.031482
Compound—resembles—Lisdexamfetamine	2	0.0314
Compound—binds—CYP11B1	233	0.03065
Compound—binds—KCNA1	564	0.03021
Compound—binds—SLC22A6	298	0.029865
Compound—binds—GRIK1	144	0.029797
Compound—causes—Asthenia	1428	0.02979
Compound—causes—Hallucination	848	0.029456
Compound—resembles—Promazine	46	0.029262
Compound—resembles—Amitriptyline	107	0.028701
Compound—causes—Fatigue	1190	0.028473
Compound—causes—Depressed level of consciousness	562	0.02805
Compound—resembles—Oxaprozin	10	0.027819
Compound—causes—Aggression	451	0.027731
Compound—resembles—Amoxapine	79	0.027696
Compound—resembles—Doxepin	59	0.027586
Compound—causes—Irritability	647	0.027533
Compound—causes—Constipation	1177	0.027442
Compound—resembles—Cyproheptadine	24	0.027136
Compound—binds—SLC6A2	792	0.026709
Compound—binds—GRIN2C	358	0.026702
Compound—binds—HTR2C	3285	0.026641
Compound—binds—CACNA1D	209	0.026626
Compound—resembles—Phenindamine	3	0.02661
Compound—causes—Hyperkinesia	494	0.026435
Compound—causes—Hypotension	902	0.026389
Compound—causes—Psychotic disorder	685	0.026295
Compound—causes—Tremor	952	0.026219
Compound—binds—CYP1A1	571	0.026126
Compound—causes—Mental disability	530	0.025539
Compound—binds—GRIN2D	360	0.025373
Compound—binds—NTRK2	218	0.025315
Compound—causes—CNS depression NOS	160	0.025104
Compound—resembles—Indecainide	3	0.0251
Compound—binds—HTR6	2728	0.024843
Compound—causes—Thinking abnormal	422	0.024842
Compound—causes—Apnoea	221	0.024277
Compound—binds—HTR1A	3256	0.02426
Compound—causes—Hypoventilation	92	0.024101
Compound—causes—Tension	875	0.023757
Compound—causes—Nervousness	875	0.023714
Compound—resembles—Cyclobenzaprine	14	0.023665
Compound—causes—Respiratory depression	172	0.023319
Compound—causes—Pulmonary function test decreased	172	0.023319
Compound—resembles—Warfarin	10	0.023298
Compound—binds—KCNK10	364	0.023284
Compound—resembles—Mephentermine	2	0.02316
Compound—binds—RAF1	1345	0.023058
Compound—causes—Gastrointestinal disorder	875	0.022802
Compound—resembles—Isocarboxazid	1	0.0228
Compound—causes—Decreased appetite	1001	0.022652
Compound—causes—Dysarthria	465	0.022269
Compound—causes—Coordination abnormal	481	0.022049
Compound—causes—Body temperature increased	982	0.022003
Compound—binds—SLC6A3	1010	0.021903
Compound—binds—SLC22A8	247	0.021783
Compound—binds—SLC22A1	1179	0.021706
Compound—binds—UGT2B15	194	0.021627
Compound—resembles—Phentermine	8	0.021496
Compound—causes—Leukopenia	774	0.021417
Compound—binds—UGT2B7	322	0.021142
Compound—binds—KCNK18	312	0.020997
Compound—causes—Balance disorder	198	0.020978
Compound—causes—Paraesthesia	848	0.020663
Compound—causes—Euphoric mood	466	0.020641
Compound—binds—KCNQ1	238	0.02037
Compound—causes—Pruritus	1094	0.020318
Compound—causes—Anorexia	846	0.020187
Compound—causes—Dyspepsia	829	0.020178
Compound—causes—Insomnia	922	0.020159
Compound—causes—Agranulocytosis	490	0.019825
Compound—causes—Anxiety	776	0.01973
Compound—causes—Vertigo	801	0.019675
Compound—causes—Shock	753	0.019651
Compound—binds—HTR3A	376	0.019572
Compound—causes—Respiratory failure	222	0.01941
Compound—causes—Hypoxia	113	0.019036
Compound—causes—Anaemia megaloblastic	42	0.018843
Compound—causes—Convulsion	590	0.017749
Compound—resembles—Amphetamine	8	0.017645
Compound—resembles—Dextroamphetamine	5	0.017594
Compound—causes—Diarrhoea	982	0.017547
Compound—causes—Hypersensitivity	847	0.017536
Compound—causes—Suicidal behaviour	91	0.017402
Compound—causes—Dry mouth	800	0.017374
Compound—causes—Bradycardia	481	0.017312
Compound—causes—Vision blurred	646	0.017201
Compound—causes—Syncope	646	0.016969
Compound—resembles—Doxapram	6	0.016888
Compound—causes—Suicidal ideation	220	0.016858
Compound—causes—Urticaria	922	0.016731
Compound—causes—Nightmare	189	0.016704
Compound—resembles—Pirenzepine	5	0.016548
Compound—causes—Excitement	112	0.016309
Compound—binds—CYP1B1	261	0.016161
Compound—causes—Muscle twitching	366	0.016119
Compound—resembles—Prochlorperazine	17	0.015821
Compound—causes—Thrombocytopenia	684	0.015746
Compound—resembles—Chlorcyclizine	3	0.01548
Compound—binds—SLC6A11	252	0.015372
Compound—causes—Loss of consciousness	589	0.015229
Compound—causes—Slurred speech	119	0.015201
Compound—causes—Delusion	240	0.015191
Compound—binds—TRPA1	56	0.015083
Compound—causes—Mental disorder	545	0.01505
Compound—causes—Nervous system disorder	631	0.014914
Compound—causes—Amnesia	466	0.01486
Compound—resembles—Chlorpromazine	65	0.014706
Compound—resembles—Magnesium salicylate	6	0.014565
Compound—causes—Hostility	220	0.014516
Compound—binds—CHRM4	2328	0.014244
Compound—causes—Anterograde amnesia	36	0.014049
Compound—causes—Erythema multiforme	494	0.013976
Compound—causes—Eosinophilia	390	0.013934
Compound—causes—Gait disturbance	300	0.013822
Compound—binds—KCNK2	304	0.013758
Compound—causes—Hiccups	201	0.013531
Compound—causes—Disinhibition	29	0.013507
Compound—binds—UGT1A8	67	0.013418
Compound—causes—Hepatitis	341	0.013385
Compound—causes—Salivary hypersecretion	266	0.013142
Compound—binds—KCND3	279	0.013139
Compound—causes—Lethargy	339	0.012985
Compound—causes—Weight decreased	416	0.012985
Compound—causes—Unspecified disorder of skin and subcutaneous tissue	497	0.012979
Compound—causes—Disturbance in attention	241	0.012972
Compound—causes—Muscular weakness	512	0.01292
Compound—causes—Eye disorder	494	0.012865
Compound—causes—Affect lability	488	0.012767
Compound—binds—CHRM5	2268	0.012745
Compound—causes—Tinnitus	492	0.012743
Compound—causes—Stevens-Johnson syndrome	417	0.012644
Compound—causes—Systemic lupus erythematosus	117	0.01255
Compound—causes—Urinary retention	361	0.012503
Compound—causes—Skin disorder	513	0.012436
Compound—binds—HRH1	2896	0.012349
Compound—causes—Delirium	200	0.012294
Compound—causes—Mood swings	488	0.012287
Compound—binds—BRAF	522	0.012119
Compound—causes—Discomfort	593	0.012044
Compound—causes—Memory impairment	221	0.01182
Compound—causes—Tachycardia	646	0.011793
Compound—causes—Osteoarthritis	465	0.011765
Compound—causes—Lymphadenopathy	308	0.011761
Compound—causes—Urinary incontinence	325	0.011687
Compound—binds—SLC22A2	1140	0.011574
Compound—causes—Depression	478	0.011533
Compound—binds—SLC12A3	138	0.011517
Compound—binds—UGT1A6	92	0.011378
Compound—causes—Liver injury	70	0.011327
Compound—causes—Amblyopia	217	0.011317
Compound—causes—Hyperhidrosis	616	0.011266
Compound—causes—Incontinence	77	0.011221
Compound—causes—Malnutrition	466	0.011183
Compound—causes—Chills	449	0.011128
Compound—binds—ADRA1B	2310	0.011026
Compound—causes—Hepatic failure	168	0.01099
Compound—causes—Apathy	199	0.010791
Compound—causes—Status epilepticus	64	0.010779
