relationship	PC	prediction_contrib
Compound—includes—Decreased Central Nervous System Disorganized Electrical Activity	238	6.3404
Compound—includes—Benzodiazepines	52	3.8447
Compound—binds—GABRA1	12385	2.8192
Compound—resembles—Diazepam	402	2.7084
Compound—includes—General Anesthesia	6	2.4567
Compound—binds—GABRG2	8522	2.4026
Compound—palliates—multiple sclerosis	84	2.1557
Compound—resembles—Amobarbital	87	2.1296
Compound—resembles—Clobazam	227	2.1282
Compound—resembles—Phenobarbital	165	2.0361
Compound—resembles—Clonazepam	131	1.8281
Compound—binds—GABRB2	7554	1.8189
Compound—resembles—Midazolam	228	1.7001
Compound—binds—GABRA5	7835	1.6445
Compound—binds—CYP2C19	4316	1.557
Compound—resembles—Lacosamide	24	1.5528
Compound—resembles—Oxcarbazepine	51	1.3743
Compound—binds—GABRB3	7390	1.2504
Compound—treats—migraine	5	1.1288
Compound—binds—GABRD	274	1.0897
Compound—binds—GRIA2	2951	1.0445
Compound—binds—CACNA1G	686	1.0112
Compound—resembles—Phenytoin	116	0.96886
Compound—binds—SCN9A	945	0.92668
Compound—resembles—Primidone	82	0.90939
Compound—binds—GRIK2	2216	0.89273
Compound—includes—Sulfonamides	4	0.89143
Compound—palliates—bipolar disorder	56	0.88304
Compound—binds—SCN1A	1135	0.87031
Compound—binds—CYP3A4	7173	0.83851
Compound—binds—GABRA3	8523	0.82118
Compound—palliates—panic disorder	14	0.81181
Compound—resembles—Carbamazepine	46	0.79592
Compound—binds—CA4	612	0.77863
Compound—binds—GABRA2	8556	0.75986
Compound—palliates—schizophrenia	32	0.75569
Compound—binds—CHRNA7	2349	0.7223
Compound—binds—CYP2E1	3051	0.70225
Compound—binds—CHRNA4	2573	0.68527
Compound—binds—SCN3A	899	0.58863
Compound—includes—Cytochrome P450 2D6 Inhibitors	2	0.57486
Compound—binds—GABBR1	442	0.54124
Compound—resembles—Methylphenobarbital	106	0.52466
Compound—binds—SCN5A	1904	0.51945
Compound—binds—GRIN2A	715	0.50151
Compound—resembles—Trimethadione	3	0.49229
Compound—binds—SCN4A	744	0.47282
Compound—binds—GRIN2B	1163	0.4682
Compound—resembles—Felbamate	9	0.46002
Compound—binds—GABRA4	5849	0.45469
Compound—resembles—Acetazolamide	3	0.4495
Compound—binds—CYP2B6	2459	0.44865
Compound—binds—SCN8A	552	0.44862
Compound—binds—GABRA6	5667	0.44543
Compound—binds—ALB	3382	0.43154
Compound—resembles—Propofol	10	0.42557
Compound—binds—SLC6A1	383	0.40695
Compound—binds—CACNA2D2	390	0.4047
Compound—binds—CYP2C8	2635	0.39557
Compound—binds—CACNA1H	544	0.37511
Compound—binds—SCN2A	794	0.37178
Compound—binds—ABCB1	3272	0.36115
Compound—binds—ABAT	245	0.34815
Compound—binds—CYP2C9	3681	0.33813
Compound—resembles—Methsuximide	66	0.33811
Compound—binds—GRM5	593	0.32701
Compound—binds—CACNA1B	403	0.29314
Compound—resembles—Fosphenytoin	11	0.29207
Compound—palliates—Parkinson's disease	6	0.28098
Compound—binds—CYP2C18	905	0.28057
Compound—binds—CYP2D6	1431	0.28001
Compound—resembles—Heptabarbital	54	0.27781
Compound—binds—GABRG3	4918	0.27705
Compound—binds—CHRFAM7A	123	0.27199
Compound—binds—GABRB1	4828	0.26783
Compound—binds—KCNK9	348	0.26734
Compound—binds—GRIA1	1044	0.26707
Compound—resembles—Delorazepam	104	0.26432
Compound—resembles—Phenindione	65	0.26194
Compound—binds—KCNK3	332	0.26147
Compound—resembles—Butethal	78	0.24569
Compound—resembles—Pentobarbital	130	0.2453
Compound—resembles—Butabarbital	97	0.24505
Compound—resembles—Talbutal	130	0.24463
Compound—binds—CHRM1	3088	0.24443
Compound—resembles—Fludiazepam	256	0.24292
Compound—binds—TSPO	128	0.23462
Compound—binds—CA5B	540	0.23245
Compound—resembles—Secobarbital	98	0.22497
Compound—palliates—restless legs syndrome	12	0.22332
Compound—resembles—Aprobarbital	78	0.22318
Compound—binds—CHRM3	3164	0.21734
Compound—resembles—Alprazolam	194	0.21051
Compound—binds—GABRG1	297	0.21042
Compound—binds—CACNA1A	417	0.21002
Compound—binds—SV2A	42	0.20931
Compound—resembles—Prazepam	236	0.20607
Compound—binds—GABRR1	3054	0.20598
Compound—resembles—Estazolam	216	0.2048
Compound—binds—GABRR2	3166	0.20417
Compound—resembles—Oxazepam	196	0.20203
Compound—resembles—Halazepam	216	0.20133
Compound—binds—CA9	756	0.20023
Compound—resembles—Lorazepam	129	0.19266
Compound—binds—CHRM2	3344	0.18736
Compound—resembles—Flunitrazepam	122	0.18554
Compound—binds—GABRQ	2896	0.18279
Compound—resembles—Glutethimide	53	0.17769
Compound—binds—CA2	620	0.17598
Compound—binds—CYP3A5	1591	0.17542
Compound—binds—AQP1	134	0.17169
Compound—resembles—Phenacemide	10	0.17157
Compound—binds—GABRE	130	0.17134
Compound—resembles—Clorazepate	158	0.17129
Compound—includes—Cytochrome P450 2B6 Inducers	4	0.17053
Compound—includes—Cytochrome P450 2C19 Inducers	4	0.17053
Compound—includes—Cytochrome P450 2C9 Inducers	4	0.17053
Compound—resembles—Triazolam	186	0.16663
Compound—resembles—Flurazepam	194	0.1621
Compound—binds—CA6	392	0.15994
Compound—resembles—Phensuximide	45	0.15912
Compound—binds—CA5A	438	0.1585
Compound—binds—HTR2A	3609	0.15746
Compound—resembles—Temazepam	227	0.15677
Compound—binds—SLC1A1	183	0.15631
Compound—binds—CA1	535	0.15548
Compound—resembles—Quinidine barbiturate	9	0.15536
Compound—binds—GABRP	61	0.15357
Compound—binds—CYP1A2	2788	0.15246
Compound—binds—GABRR3	62	0.14952
Compound—binds—ABCC2	350	0.14835
Compound—resembles—Chlordiazepoxide	159	0.14468
Compound—binds—KCND2	333	0.14416
Compound—binds—CA7	459	0.1433
Compound—binds—CACNA1I	474	0.14144
Compound—resembles—L-Phenylalanine	13	0.1407
Compound—resembles—Adinazolam	197	0.13986
Compound—resembles—Quazepam	141	0.13778
Compound—resembles—Methocarbamol	1	0.13771
Compound—binds—SLC2A1	223	0.13715
Compound—binds—SLC6A4	696	0.13512
Compound—binds—CYP2A6	1152	0.13278
Compound—resembles—Ethyl loflazepate	48	0.13247
Compound—binds—CA14	342	0.12782
Compound—resembles—Camazepam	57	0.12734
Compound—binds—CA12	480	0.12726
Compound—includes—Cytochrome P450 2C8 Inducers	1	0.12682
Compound—binds—CA3	207	0.12441
Compound—binds—SCN10A	552	0.11621
Compound—binds—HTR7	1840	0.11413
Compound—palliates—systemic lupus erythematosus	4	0.11167
Compound—resembles—Ethotoin	52	0.11146
Compound—binds—CACNA2D1	40	0.11126
Compound—resembles—Ketazolam	81	0.11105
Compound—includes—Cytochrome P450 3A4 Inducers	4	0.11083
Compound—resembles—Clotiazepam	107	0.11064
Compound—resembles—Thiopental	71	0.10972
Compound—binds—ADRA2A	2395	0.1091
Compound—binds—SCN11A	430	0.10886
Compound—binds—CYP3A7	1171	0.10871
Compound—includes—P-Glycoprotein Inhibitors	1	0.10759
Compound—binds—GRIN3A	27	0.10459
Compound—binds—CYP3A7-CYP3A51P	65	0.10293
Compound—resembles—Thiamylal	63	0.10233
Compound—resembles—Epinastine	40	0.10112
Compound—resembles—Butalbital	71	0.10011
Compound—binds—UGT1A3	342	0.097912
Compound—resembles—Clozapine	153	0.094589
Compound—binds—UGT1A4	365	0.092022
Compound—binds—MAOA	713	0.091529
Compound—resembles—Mazindol	22	0.091338
Compound—resembles—Cloxazolam	18	0.090211
Compound—binds—MAOB	266	0.088271
Compound—palliates—endogenous depression	3	0.088051
Compound—includes—Cytochrome P450 1A2 Inducers	2	0.085838
Compound—binds—ABCG2	256	0.085163
Compound—binds—SLC36A1	80	0.082112
Compound—resembles—Chlorthalidone	5	0.081202
Compound—resembles—Nitrazepam	148	0.080445
Compound—resembles—Brotizolam	14	0.079229
Compound—resembles—Cinolazepam	126	0.072235
Compound—causes—Ataxia	1312	0.069236
Compound—binds—CACNB4	207	0.067042
Compound—binds—KCNQ3	372	0.066457
Compound—binds—KCNQ2	370	0.066195
Compound—resembles—Nateglinide	11	0.064343
Compound—binds—PTGS1	1178	0.064334
Compound—binds—SCN7A	308	0.063339
Compound—resembles—Bromazepam	61	0.06232
Compound—resembles—Aspartame	5	0.06143
Compound—binds—CA13	70	0.06013
Compound—binds—GABBR2	461	0.059908
Compound—binds—KCNC1	93	0.058978
Compound—resembles—Loxapine	88	0.058811
Compound—binds—KCNC4	90	0.058107
Compound—binds—OPRD1	792	0.058075
Compound—binds—GRIN1	1089	0.05799
Compound—binds—KCNB1	174	0.057613
Compound—resembles—Phenylbutazone	13	0.052951
Compound—resembles—Bethanidine	3	0.052949
Compound—binds—SLCO1A2	294	0.052022
Compound—binds—CYP11A1	112	0.051751
Compound—resembles—Indapamide	3	0.050492
Compound—binds—KCNJ11	320	0.049961
Compound—resembles—Trimipramine	54	0.049687
Compound—binds—KCNQ4	85	0.049445
Compound—binds—SCN1B	104	0.048576
Compound—causes—Nystagmus	611	0.048503
Compound—resembles—Chlorprothixene	89	0.046817
Compound—binds—OPRM1	838	0.04581
Compound—resembles—Modafinil	16	0.04531
Compound—causes—Diplopia	948	0.044989
Compound—binds—KCNV1	86	0.044804
Compound—resembles—Desipramine	58	0.044416
Compound—causes—Somnolence	1577	0.043545
Compound—binds—GRIK5	140	0.043348
Compound—causes—Vomiting	1777	0.042752
Compound—causes—Agitation	1382	0.042188
Compound—causes—Headache	1802	0.040681
Compound—resembles—Nepafenac	10	0.040401
Compound—causes—Nausea	1802	0.040121
Compound—resembles—Mianserin	35	0.038868
Compound—resembles—Clomipramine	70	0.038783
Compound—resembles—Dimetacrine	10	0.03859
Compound—binds—HRH3	365	0.038525
Compound—binds—KCNH1	86	0.038485
Compound—resembles—Benzyl Benzoate	12	0.038276
Compound—resembles—Protriptyline	15	0.038206
Compound—resembles—Imipramine	70	0.038105
Compound—resembles—Methdilazine	10	0.038059
Compound—binds—CYP4B1	210	0.037639
Compound—resembles—Methamphetamine	15	0.037485
Compound—binds—GRIA4	163	0.037144
Compound—causes—Rash	1610	0.035397
Compound—causes—Dermatitis	1610	0.034533
Compound—resembles—Promethazine	46	0.034519
Compound—binds—DRD2	4030	0.034153
Compound—causes—Drowsiness	676	0.033992
Compound—causes—Dizziness	1634	0.033919
Compound—resembles—Antipyrine	15	0.03386
Compound—resembles—Nortriptyline	53	0.033637
Compound—resembles—Alimemazine	10	0.033595
Compound—causes—Confusional state	1256	0.033553
Compound—binds—PTGS2	209	0.03352
Compound—binds—FAAH	14	0.032808
Compound—causes—Feeling abnormal	1405	0.032483
Compound—resembles—Phenformin	5	0.031473
Compound—resembles—Lisdexamfetamine	2	0.031391
Compound—binds—CYP11B1	233	0.030643
Compound—binds—KCNA1	564	0.03021
Compound—binds—SLC22A6	298	0.02987
Compound—causes—Asthenia	1428	0.029791
Compound—binds—GRIK1	144	0.02979
Compound—causes—Hallucination	848	0.029458
Compound—resembles—Promazine	46	0.02925
Compound—resembles—Amitriptyline	107	0.028696
Compound—causes—Fatigue	1190	0.028475
Compound—causes—Depressed level of consciousness	562	0.028051
Compound—resembles—Oxaprozin	10	0.027822
Compound—causes—Aggression	451	0.027734
Compound—resembles—Amoxapine	79	0.027697
Compound—resembles—Doxepin	59	0.0276
Compound—causes—Irritability	647	0.027535
Compound—causes—Constipation	1177	0.02744
Compound—resembles—Cyproheptadine	24	0.027125
Compound—binds—GRIN2C	358	0.026709
Compound—binds—SLC6A2	792	0.026701
Compound—binds—CACNA1D	209	0.026673
Compound—resembles—Phenindamine	3	0.026651
Compound—binds—HTR2C	3285	0.026642
Compound—causes—Hyperkinesia	494	0.026435
Compound—causes—Hypotension	902	0.026391
Compound—causes—Psychotic disorder	685	0.026294
Compound—causes—Tremor	952	0.02622
Compound—binds—CYP1A1	571	0.026137
Compound—causes—Mental disability	530	0.025538
Compound—binds—GRIN2D	360	0.025373
Compound—binds—NTRK2	218	0.025289
Compound—resembles—Indecainide	3	0.025134
Compound—causes—CNS depression NOS	160	0.025095
Compound—binds—HTR6	2728	0.024844
Compound—causes—Thinking abnormal	422	0.024842
Compound—causes—Apnoea	221	0.024274
Compound—binds—HTR1A	3256	0.02426
Compound—causes—Hypoventilation	92	0.024098
Compound—causes—Tension	875	0.023756
Compound—causes—Nervousness	875	0.023712
Compound—resembles—Cyclobenzaprine	14	0.023675
Compound—causes—Respiratory depression	172	0.023317
Compound—causes—Pulmonary function test decreased	172	0.023317
