gene_main_name	paths	contribution	gene_symbols
gamma-aminobutyric acid (GABA) A receptor	23347	6.834	GABRA1, GABRA5, GABRB2, GABRB3, GABRD, GABRG2
glutamate receptor	20142	2.2849	GRIA1, GRIA2, GRIA4, GRIK1, GRIK2, GRIK5, GRIN2A, GRIN2B, GRM1, GRM2, GRM3, GRM4, GRM5, GRM8
sodium channel	2678	2.1133	SCN1A, SCN1B, SCN2A, SCN3A, SCN4A, SCN8A, SCN9A
calcium channel	10209	1.5873	CACNA1A, CACNA1D, CACNA1G, CACNA1H, CACNA2D2, CACNB4, CACNG2, CACNG3
potassium channel	15467	1.547	KCNAB2, KCNB1, KCNC1, KCNC4, KCND2, KCNH1, KCNJ10, KCNJ11, KCNK3, KCNK9, KCNMA1, KCNQ2, KCNQ3, KCNQ4, KCNV1
cholinergic receptor	13397	1.5254	CHRM1, CHRM2, CHRM3, CHRNA2, CHRNA4, CHRNA7, CHRNB2
cytochrome P450	9365	1.1146	CYP11A1, CYP2C19, CYP2D6
carbonic anhydrase	1268	0.79162	CA13, CA4
solute carrier family 6 (neurotransmitter transporter)	3053	0.36114	SLC6A1, SLC6A4, SLC6A8
ATP-binding cassette	4639	0.34958	ABCB1, ABCC2, ABCG2
gamma-aminobutyric acid (GABA) B receptor	2976	0.28106	GABBR1
4-aminobutyrate aminotransferase	1215	0.22823	ABAT
5-hydroxytryptamine (serotonin) receptor	3236	0.22797	HTR2A, HTR7
synaptic vesicle glycoprotein 2A	23	0.20028	SV2A
aquaporin 1 (Colton blood group)	1130	0.17183	AQP1
solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag)	1847	0.14991	SLC1A1
Cdc42 guanine nucleotide exchange factor (GEF) 9	4915	0.13466	ARHGEF9
albumin	1552	0.12797	ALB
solute carrier family 2 (facilitated glucose transporter)	1359	0.1227	SLC2A1
adrenoceptor alpha 2A	2128	0.1148	ADRA2A
opioid receptor	2154	0.10255	OPRD1, OPRM1
solute carrier organic anion transporter family	1438	0.067658	SLCO1A2
histamine receptor	1264	0.046922	HRH3
chloride channel	2006	0.044369	CLCN2, CLCN6
solute carrier family 1 (glial high affinity glutamate transporter)	3834	0.041318	SLC1A2, SLC1A3
somatostatin receptor	5735	0.040941	SSTR1, SSTR2, SSTR3, SSTR4, SSTR5
N-ethylmaleimide-sensitive factor	1834	0.038183	NSF
chemokine (C-C motif) receptor	7651	0.035142	CCR10, CCR2, CCR3, CCR5, CCR7, CCR8, CCR9
discs	2238	0.033544	DLG4
prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1054	0.033189	PTGS2
syntaxin binding protein 1	1854	0.03115	STXBP1
synapsin I	1316	0.026737	SYN1
neurotrophic tyrosine kinase	535	0.026308	NTRK2, NTRK3
solute carrier family 17 (vesicular glutamate transporter)	1869	0.026116	SLC17A7
solute carrier family 8 (sodium/calcium exchanger)	2166	0.022134	SLC8A1, SLC8A2, SLC8A3
cytochrome c oxidase III	1524	0.020947	COX3
spectrin	417	0.020518	SPTAN1
glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	1223	0.020243	GAD2
glutamate-ammonia ligase	1753	0.020158	GLUL
ankyrin 3	382	0.019554	ANK3
phospholipase C	3083	0.019322	PLCB1
glutamate decarboxylase 1 (brain, 67kDa)	1249	0.01855	GAD1
hyperpolarization activated cyclic nucleotide gated potassium channel 1	719	0.018382	HCN1
contactin 2 (axonal)	352	0.016445	CNTN2
solute carrier family 12 (potassium/chloride transporter)	644	0.015175	SLC12A5
butyrylcholinesterase	2035	0.015119	BCHE
apolipoprotein D	1054	0.015064	APOD
protein kinase C	2601	0.012046	PRKCB
ATPase	1348	0.011529	ATP2A2, ATP6AP2
bradykinin receptor	2514	0.011516	BDKRB1, BDKRB2
doublecortin	306	0.011385	DCX
glial cell derived neurotrophic factor	300	0.011376	GDNF
transient receptor	1010	0.010397	TRPV1
solute carrier family 35 (UDP-galactose transporter)	658	0.010235	SLC35A2
solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter)	658	0.010235	SLC35A3
solute carrier family 4	662	0.0096017	SLC4A10
solute carrier family 12 (sodium/potassium/chloride transporter)	646	0.009494	SLC12A2
tyrosine hydroxylase	852	0.0085737	TH
prion protein	274	0.0082951	PRNP
plasminogen activator	1306	0.0080788	PLAT, PLAU, PLAUR
glutamate dehydrogenase 1	560	0.0078046	GLUD1
proopiomelanocortin	2682	0.0077271	POMC
solute carrier family 9	640	0.0073583	SLC9A6
arginine vasopressin	1884	0.0073547	AVP
guanidinoacetate N-methyltransferase	585	0.0071813	GAMT
microtubule-associated protein 2	240	0.0071071	MAP2
syntrophin	148	0.0070986	SNTA1
cell division cycle 42	1082	0.0069188	CDC42
FYN proto-oncogene	788	0.0068935	FYN
atypical chemokine receptor	835	0.006751	ACKR4
neuropeptide Y receptor	1128	0.0066436	NPY2R
aquaporin 4	714	0.0064456	AQP4
tryptophanyl-tRNA synthetase	140	0.0064334	WARS
methyl CpG binding protein 2	179	0.0061984	MECP2
integrin	356	0.0061954	ITGA2
syntaxin 1B	40	0.0061069	STX1B
thioredoxin reductase 1	846	0.0049847	TXNRD1
pyridoxamine 5'-phosphate oxidase	597	0.0049651	PNPO
phosphofructokinase	606	0.0049146	PFKL
actin	317	0.0048926	ACTB
somatostatin	1091	0.0047781	SST
slit homolog 2 (Drosophila)	230	0.004756	SLIT2
cyclin-dependent kinase-like 5	65	0.0046533	CDKL5
achaete-scute family bHLH transcription factor 1	155	0.0046131	ASCL1
hydroxysteroid (17-beta) dehydrogenase 4	747	0.0046051	HSD17B4
ceramide synthase 1	716	0.0045513	CERS1
heme oxygenase 1	1229	0.0045386	HMOX1
cannabinoid receptor	1192	0.0045295	CNR1
pyridoxal (pyridoxine, vitamin B6) kinase	571	0.0044622	PDXK
fatty acyl CoA reductase 1	715	0.0043823	FAR1
prodynorphin	930	0.0043352	PDYN
ceroid-lipofuscinosis	15	0.0042851	CLN8
SRC proto-oncogene	945	0.0042806	SRC
ret proto-oncogene	183	0.004256	RET
angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	1826	0.0042211	AGT
interleukin 6 signal transducer	832	0.0041159	IL6ST
